villageId,i,age,female,income,edu,pol_index,leader,prosoc_dic,registered,clustering,edu_full,rlg,eth,LC,hh,distance,villageTxt,head
55,31307402,33,1,4,1,-0.467815788,0,0,1,0.4230769230769231,Some Tertiary,1,1,0,313074,0.17302371,E,1
55,31407501,57,1,4,1,1.494918505,0,0.2,1,0.2813852813852814,Some Tertiary,0,1,0,314075,0.13319238000000003,E,1
55,31407601,40,1,4,1,-0.576592993,0,0.6,0,0.2222222222222222,Some Tertiary,0,0,0,314076,NA,E,1
55,31407701,34,0,4,1,0.437850691,0,0.5,0,0.46153846153846156,Some Tertiary,0,1,0,314077,0.42841840000000003,E,1
55,31407703,30,1,2,0,0.143077263,0,0.2,1,0.3333333333333333,Some Primary,0,1,0,314077,0.1961561,E,0
55,31407801,58,0,2,1,-0.26698992,0,0,1,0.3602941176470588,Some Tertiary,0,1,0,314078,0.23565137,E,1
55,31407901,32,1,4,1,-0.576592993,0,0.2,1,0.4,Some Tertiary,0,1,0,314079,0.25013844,E,1
55,31408001,39,1,4,1,-0.576592993,0,0,1,0.5277777777777778,Some Tertiary,0,1,0,314080,0.27804962,E,1
55,31408101,42,1,4,1,0.622900963,0,0.2,1,0.3790849673202614,Some Tertiary,1,1,0,314081,0.29487048,E,1
55,31408201,26,1,2,1,-0.308951951,0,0.2,0,0.3888888888888889,Some Secondary,0,1,0,314082,0.31484991,E,0
55,31408202,41,0,3,1,1.494918505,0,0,0,0.43809523809523815,Some Tertiary,0,1,0,314082,0.33824689,E,1
55,31408302,48,0,4,1,1.084851322,0,0,1,0.3974358974358974,Some Tertiary,0,1,0,314083,NA,E,1
55,990021699,20,1,3,0,-0.877882971,0,0,1,0.5,Some Primary,1,1,0,9900216,0.37749301,E,NA
55,990027393,24,0,4,1,0.705491733,0,0,1,0.6212121212121212,Some Secondary,1,1,0,9900273,0.45297128,E,NA
55,990034567,20,1,2,0,-0.877882971,0,0.4,1,0.3333333333333333,Some Primary,1,1,0,9900345,0.38055804,E,NA
55,990065521,33,1,3,1,0.128247618,0,0,1,0.4,Some Tertiary,1,1,0,9900655,0.13595659000000002,E,NA
55,990079517,29,0,1,0,-0.877882971,1,0,1,0.5,Some Primary,1,1,0,9900795,0.025847282,E,NA
55,990080923,20,1,2,0,-0.568279898,0,0.2,1,0.3,Some Primary,1,1,0,9900809,NA,E,NA
55,990103233,23,1,4,1,-0.568279898,0,0.2,1,0.3333333333333333,Some Secondary,1,1,0,9901032,0.69977283,E,NA
55,994023808,49,0,2,0,-0.583109543,1,0.3,0,0.5,Some Primary,1,1,1,9940238,0.364854,E,NA
55,994023810,43,0,1,0,-0.583109543,1,0.1,1,0.5238095238095238,Some Primary,0,1,1,9940238,0.35820764000000005,E,NA
55,994422212,75,1,4,NA,-0.877882971,0,0,0,0.5333333333333333,NA,1,1,0,9944222,0.5739492199999999,E,NA
55,994422225,54,1,4,0,-0.568279898,0,0,0,0.3846153846153846,Some Primary,1,1,0,9944222,0.56496906,E,NA
55,994515108,26,0,2,0,-0.583109543,1,0.5,0,0.6666666666666666,No schooling,1,1,1,9945151,0.3556445,E,NA
55,994515124,37,0,4,1,-0.877882971,1,0,1,0.4743589743589744,Some Secondary,1,1,0,9945151,0.4562597,E,NA
66,27100101,29,0,1,0,-0.281819565,1,0.4,1,0.3333333333333333,Some Primary,1,1,0,271001,2.7408665,H,1
66,27100102,25,1,1,0,-0.200174746,0,0.4,0,0.3333333333333333,Some Primary,1,1,0,271001,2.7443357,H,0
66,27100201,28,1,1,0,-0.467815788,0,0,0,0.2857142857142857,Some Primary,0,1,0,271002,2.73996,H,0
66,27100202,35,0,2,0,-0.877882971,0,0.2,0,0,Some Primary,0,1,0,271002,NA,H,1
66,27100301,49,1,1,0,0.027783508,0,0.1,0,0.27472527472527475,Some Primary,1,1,0,271003,2.7335061,H,1
66,27100401,69,1,1,0,-0.610241929,0,0.5,1,0.26666666666666666,Some Primary,0,1,0,271004,3.4205671000000004,H,1
66,27100502,51,0,1,0,-0.576592993,0,0.2,0,0.6666666666666666,Some Primary,0,1,0,271005,3.2389607000000002,H,1
66,27100601,20,0,2,0,-0.158212715,0,0.5,1,0.4615384615384615,Some Primary,1,1,0,271006,1.7888721,H,0
66,27100602,40,0,1,1,-0.877882971,0,0,1,0.17102615694164988,Some Secondary,1,1,0,271006,1.6620862,H,1
66,27100701,32,1,1,0,-0.877882971,1,0,1,0.2571428571428572,Some Primary,1,1,0,271007,1.6710459,H,1
66,27100801,40,1,1,0,-0.467815788,0,0.2,1,0.8333333333333334,No schooling,1,1,0,271008,1.6766449,H,1
66,27100901,36,0,1,0,0.179184843,1,0,1,0.2717948717948718,Some Primary,1,1,0,271009,0.32894186000000003,H,1
66,27101002,39,0,1,0,0.488787916,0,1,1,0.2935606060606061,Some Primary,1,1,0,271010,NA,H,1
66,27101101,19,1,2,0,-0.877882971,0,0.2,1,0.3484848484848485,Some Primary,1,1,0,271011,NA,H,1
66,27101502,20,0,4,1,-0.610241929,0,0,0,0.3137254901960784,Some Secondary,1,1,0,271015,NA,H,1
66,27101601,40,0,1,1,-0.26698992,1,0,1,0.19692460317460317,Some Secondary,1,1,0,271016,1.7161575,H,1
66,27101602,19,1,2,0,-0.26698992,0,0.2,1,0.5073529411764706,Some Primary,1,1,0,271016,1.7199229,H,0
66,27101603,21,0,4,1,-0.158212715,0,0.1,1,0.4771241830065359,Some Secondary,1,1,0,271016,1.7126013,H,0
